Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
EM.A22L.01,Other,Tumour,"14,29","16,92",",46","6,38","-3,97","2,40","-,62","-2,21","-3,81","-,68","1,30",",53","1,75","-2,65"
EM.A4FN.01,Other,Tumour,"7,31","13,50","1,08","-1,07","-,69","1,40","-,39","-,45","-,89","-1,25","-3,21","-1,72","-1,99","1,51"
EL.A3MZ.01,Other,Tumour,"8,24","12,55","1,30","-,14","-1,21","2,13",",27","-,43","-1,59","-1,80","-,41",",62","-2,14","1,17"
FY.A3W9.01,Other,Tumour,"15,46","15,70",",87","4,99","-4,96","1,69","-,26","-2,55","-1,26","-1,75","1,43","-,42","2,40","1,31"
DJ.A3VL.01,Other,Tumour,"14,72","15,21","1,39","-,17","-,92",",92","-,65","-1,08","-1,17","-1,75","-,39","-2,50","3,76",",13"
EL.A3ZL.01,Classical,Tumour,"6,98","13,12",",81","-2,24","-1,73","1,13","-,88","-1,98","-,32","-,86","-1,40","-,55","-2,17",",96"
EL.A3MX.01,Classical,Tumour,"9,19","8,82","2,42","-1,80","-2,74","1,44",",10","-1,13","-1,70","-1,96","1,08","-1,13","1,02","2,78"
DJ.A2PT.01,Other,Tumour,"6,99","12,64","3,05","-,06","-,46","1,74","-,46",",13","-,44","-1,30","-2,13","-,56","-2,03","1,40"
ET.A39P.01,Other,Tumour,"8,76","14,60",",37","-,80","-2,06","1,28",",00",",44","-2,82","-2,17","-1,01",",28","-1,85","-,11"
EL.A3MW.01,Other,Tumour,"5,34","14,21","2,63","-,82","-2,02","1,23",",06","-,91",",10","-1,04",",19","-,50","-1,28","2,28"
KS.A4ID.01,Other,Tumour,"13,15","14,72","2,42","3,94","-,78","1,43","-,47",",65","-,80","-1,63","-,06","-1,82","1,29","1,39"
FE.A233.01,Other,Tumour,"10,05","14,41","1,98","-1,61","-3,02","2,28",",89","1,68","-,96","-,73","-,96","1,78","-1,68",",66"
E8.A413.01,Other,Tumour,"10,53","11,85","3,06","4,67","-,48","1,41",",26",",09","-,26","-,44","1,63",",04","-,10","1,22"
EL.A3ZN.01,Other,Tumour,"10,20","14,08",",20",",63","-1,38",",86","-1,19","-2,76","-,75","-,94","-,04","-,57","1,62","-,57"
FK.A3SB.01,Other,Tumour,"8,59","15,24","2,00","-1,11","-2,27","1,60",",21","-,09","-1,54","-1,75",",34",",80","-1,39","3,53"
EL.A3CN.01,Other,Tumour,"7,67","12,50","3,10",",32","-1,14","2,07",",16","1,28","-1,18","-1,09","-1,86",",07","-2,87","1,35"
EM.A2CO.01,Other,Tumour,"14,90","14,99","-,07","-2,24","-2,63","-,63","-,11","-2,11","-3,82",",00","2,42","-,25","5,67","-2,86"
DJ.A4UT.01,Other,Tumour,"8,77","13,00","2,91","2,20","-,50","2,37","-,25",",58","-,86","-,37","-,01","-,25","-1,14","1,24"
EM.A3AO.01,Other,Tumour,"8,74","13,23","2,49","5,91","-1,68","1,83","-,50","-2,61","-1,38","-1,81","-1,52","-,35",",12","1,57"
BJ.A191.01,Other,Tumour,"9,48","10,70","-1,39",",29","-3,21",",72","1,31","1,22","-,99","-,58","1,86",",33","-,44","3,57"
EM.A4FO.01,Other,Tumour,"12,33","14,71",",82","4,92","-1,28","1,27","-,24","-,50","-,18","-,68","1,03","-1,20","1,86","1,70"
ET.A3DQ.01,Other,Tumour,"11,06","14,10","2,61","2,67","-,58","1,82","-,28","-1,42","-,22","-,41","1,43","1,76","1,74",",78"
EL.A3H5.01,Other,Tumour,"4,69","12,09","2,34","-1,58",",46","1,24",",00","-,18","-1,46",",53","-,46",",16","-2,87","2,14"
DE.A4MB.01,Other,Tumour,"4,10","13,57","1,39","1,69","1,26","1,48",",08","-,15","-1,16","-1,81","-1,02",",51","-1,00","1,73"
EL.A3TB.01,Classical,Tumour,"10,17","14,48","2,62","-1,52","-2,41",",79","-,66","-,98","-,73","-1,62","2,87","-,79","-,30","1,02"
DJ.A1QM.01,Other,Tumour,"15,67","16,50","1,59","10,28","-,78","1,18","-,07","-1,57","-,65","-,36","3,83",",61","2,23","1,61"
EL.A3T2.01,Classical,Tumour,"14,08","16,75","1,45","-1,84","-3,04","1,24","-,06","-1,39","-1,02","-,16","1,61","1,06","1,71","-1,17"
DJ.A3V9.01,Other,Tumour,"11,87","14,24","1,97","4,54","-1,77","1,33",",05",",32","-,10","-,83",",44",",46","-1,06","2,04"
J8.A4HY.01,Other,Tumour,"13,28","14,81",",60","3,58","-2,11","1,13","-,45","-,97","-1,65","-1,96",",33","-1,52","3,37",",85"
ET.A3DV.01,Other,Tumour,"14,60","14,70","3,31","-1,36","-5,03","1,27","-1,83","-3,86","-,48","-,60","3,03","-1,62","2,13","1,59"
BJ.A4O9.01,Other,Tumour,"6,70","14,57","-2,64","-1,60","-5,60",",47","1,33","-,75","-1,70","-,84",",11","-,52","-1,60",",89"
BJ.A18Z.01,Other,Tumour,"8,36","13,52","2,42","-,79","-,19","2,20","-,06","-,50","-,73","-,65",",17",",27","-2,21",",35"
E3.A3DY.01,Other,Tumour,"5,70","14,48","2,10","-2,24","-1,08","1,26",",32","-,31",",32","-1,62","-,71",",61","-1,73","1,48"
EL.A3T7.01,Classical,Tumour,"6,46","12,82","4,16","-1,92","-2,69","1,70","-,29",",82","1,11","-1,29","-2,36",",51","-2,87","4,33"
FY.A3R8.01,Other,Tumour,"6,48","13,20","2,52","-1,32","-,10","1,84",",01","-,04","-1,12","-1,05","-2,22","-,02","-1,73","1,41"
EM.A3AP.01,Other,Tumour,"13,65","16,66","-1,36","2,26","-2,45","2,56","-1,21","-1,46","-,71","-,60","3,52",",41","-,72","-5,26"
EM.A3FQ.01,Other,Tumour,"12,65","13,79","3,45","7,10","1,69","1,26","-,78","-,92","-,18","-,52","1,60","-,67",",12","1,17"
IM.A3EB.01,Other,Tumour,"11,26","12,57","3,08","-,37","-1,01","2,42","-,28","1,70","-1,55","-1,45","-,28",",00","-2,20","1,84"
KS.A4I5.01,Other,Tumour,"8,05","13,69","2,36","-1,31","-2,88","2,16","-,42","-,57","-1,23","-1,43",",14","-,43","-2,87","2,99"
CE.A3MD.01,Other,Tumour,"11,06","14,09","2,37",",92","-2,66","1,77","-,75","-2,08","-1,44","-1,11","-,97","-,79","1,79","-,33"
ET.A3BU.01,Other,Tumour,"10,94","14,61","3,09","-,08","-2,70","2,06","-,31",",80","-,54","-1,28","1,74","1,13","-2,16",",94"
ET.A3BP.01,Other,Tumour,"5,57","14,90","-,36","-1,80","-2,14","1,72",",11","-1,90","-,76","-,48","-1,76","-1,00","-2,42","1,43"
EM.A3OA.01,Other,Tumour,"14,44","15,34","1,04","-2,24","-4,62",",40",",66","-3,94","-5,07","-,26","1,72","-1,84","3,18",",85"
E3.A3DZ.01,Other,Tumour,"14,59","16,32","-,27","4,15","-2,23","1,59","-,67","-3,27","-1,01","-,23","2,80","-,79","2,55",",50"
MK.A4N9.01,Other,Tumour,"3,53","14,14","3,16","-1,73","-1,92","1,40","-,31","-1,47","-,20","-1,04","-2,28",",09","-1,98","2,69"
ET.A40S.01,Other,Tumour,"9,56","12,67","2,38","3,21","-,55","1,69",",34","1,05","-,51","-,83",",21","-,77",",21",",58"
ET.A3DR.01,Other,Tumour,"12,97","14,61","2,38","7,03","-2,97","1,12","-,97",",22",",34","-,45","3,03",",96","-2,28","1,62"
EL.A3CR.01,Other,Tumour,"9,10","13,55","1,22","1,82","2,06","1,47","-,40","-,12","-,39","-,27","-,84","-,75","-2,44","1,36"
DJ.A3VE.01,Other,Tumour,"6,80","13,78","4,17","-1,78","-2,24","2,08","-,54",",43",",28","-1,16","-,63",",42","-2,87","1,57"
BJ.A28S.01,Other,Tumour,"12,22","14,97","1,01","-1,72","-3,11","1,30","-,09","-1,97","-2,54","-2,00","-,59","-,52","3,57","-,31"
DE.A4M8.01,Other,Tumour,"11,36","14,38","2,92","2,27","-,72","1,16",",01","-,28",",05","-1,22",",24","-,83","-,71",",94"
EL.A3H4.01,Other,Tumour,"8,14","13,75","4,52","-2,24","-2,97","2,25",",71","1,82","-,67","-1,08",",53","1,65","-2,14","-,07"
BJ.A0Z2.01,Other,Tumour,"11,77","16,36","2,18","-1,68","-4,03","1,17","-,57","-,93","-1,28","-,73","2,12","-1,18","2,15",",87"
FY.A3TY.01,Classical,Tumour,"11,08","13,26","2,24","3,05",",18",",50","-,07","-,16",",10","-,31","2,36",",26","-1,29",",71"
FY.A3I5.01,Other,Tumour,"12,66","14,54",",19","6,59","-3,21","-,55","-1,98","-2,73",",56","-,46","3,57","-,91","2,20","-,89"
EL.A3T0.01,Classical,Tumour,"13,00","14,65","1,12","6,33","-1,98","1,49",",30","-,62","-1,23","-,58",",60",",69",",50","1,35"
FY.A3NP.01,Other,Tumour,"14,58","15,88",",67","3,73","-4,75","1,48","-,51","-2,62","-3,05","-1,17","1,50","-,08","2,87",",64"
EL.A3GU.01,Other,Tumour,"6,09","13,44","2,50","-,90","-,38","1,72","-,11",",47","-1,49","-,68",",98",",77","-2,40","1,76"
DJ.A2Q1.01,Other,Tumour,"7,00","9,32","3,49",",73","2,45","1,08","-1,19","-1,68","-,85","-1,17","-1,72","-,23","-,36","2,34"
EM.A3AR.01,Other,Tumour,"14,17","15,39","1,86","5,58","-1,99",",66","-1,09","-1,39","-,24","-,25","4,16",",00","-1,35",",63"
EM.A2CK.01,Other,Tumour,"14,79","16,35","1,11","-,38","-3,58","1,41","-,51","-4,12","-4,13","-,94","2,45","-,99","2,31",",73"
DJ.A3VA.01,Other,Tumour,"7,85","13,80","1,77","-2,24","-3,41","1,61","-,01",",72","-1,07","-,91","-,52",",49","-2,49",",90"
DJ.A2PP.01,Other,Tumour,"13,69","16,28",",35","-2,24","-4,35","1,20",",80","-1,04","-4,69","-,31","1,67","-,35","3,89",",48"
DJ.A3V6.01,Other,Tumour,"6,45","13,23","2,88","-1,38","-,66","2,02",",10",",20","-1,17","-1,08","-1,91",",18","-2,37","1,50"
J8.A3YF.01,Other,Tumour,"8,79","13,77","2,64","-,06","-1,51","2,06","-,39","-,81","-,36","-1,71","-2,21","-,47","-2,09","1,82"
EM.A3AN.01,Other,Tumour,"10,33","14,35","3,37","-1,36",",03","1,29","-,54","-1,14","-,18","-,83","1,13","-1,20","-1,05",",45"
J8.A3O1.01,Other,Tumour,"1,43","10,61","5,11","-1,88","-,43","1,89",",33","1,52","-,42","-1,06","-3,35","1,36","-2,87","1,85"
ET.A25M.01,Other,Tumour,"8,10","14,58","2,58","-2,24","-1,52","1,45",",78","-,42","-,97","-1,48","-,26","1,23","-,70","1,11"
EL.A3GV.01,Other,Tumour,"9,60","14,39","2,20","3,11","-2,08","1,68",",67",",12","-,31","-,93",",21","1,25","-2,12","1,22"
ET.A2MZ.01,Other,Tumour,"8,75","15,79",",52","-,96","-1,11","2,15",",41","-1,29","-,54","-1,26",",91",",53","-2,21","2,08"
EL.A3ZR.01,Classical,Tumour,"13,30","15,98","1,32",",90","-2,34","1,51","-,55","-2,09","-3,16","-1,91","-1,37","-1,84","2,60","-5,16"
DJ.A13M.01,Other,Tumour,"14,63","16,14",",39","-,57","-4,35","1,51","-,96","-2,99","-2,53","-1,54","-,29","-2,11","2,32","-1,21"
BJ.A3PT.01,Other,Tumour,"13,71","15,45",",83","5,57","-,67",",93","-,14","-2,52","-1,75","-1,09",",52","-2,01","3,12","1,29"
BJ.A45H.01,Other,Tumour,"12,79","15,53",",90","8,52","-1,09","1,58","-,47","-1,59","-,45","-1,14","1,53","-,39","-,05",",37"
BJ.A0ZB.01,Other,Tumour,"6,43","13,97","1,81","-1,87","-,72","1,60","-,18","-2,06","-,77","-1,72","-,38",",61","-1,00","1,47"
