Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
DE.A4MD.06,Other,Metastases,"11,03","13,06",",30","-1,01","-,30",",55","-,96","-1,04","-,96","-,77","-2,58","-,99","-,82","2,08"
J8.A4HW.06,Other,Metastases,"9,21","13,99","2,10","2,41",",34","1,39","-,25",",48",",74","-1,03","1,60","-,18","-2,87","2,08"
EM.A3FQ.06,Other,Metastases,"11,74","14,68","2,05","3,99","-2,33","1,75","-1,95","-2,10","-1,65","-1,55","-1,20","-1,71","2,24","-,02"
J8.A3O2.06,Other,Metastases,"5,87","13,91","2,75","-,74","-3,02","1,13",",17","-,79","-,12","-1,69",",32","-,44","-2,87","2,38"
EM.A2CS.06,Other,Metastases,"12,37","14,69","2,23","2,98","-2,88","1,32",",30","1,04","-1,83","-1,25",",37","-,74",",81","1,20"
EM.A3SU.06,Other,Metastases,"10,16","12,56","3,03","-,22",",32","1,96",",07",",47","-,09","-1,02",",34",",52","-1,53","1,75"
EM.A2P1.06,Other,Metastases,"7,67","11,71","3,31","-1,74","-,96","1,37",",42",",73","-,48","-1,60","-2,36",",24","-2,87","1,46"
J8.A3YH.06,Other,Metastases,"8,72","13,82","2,73","-,91","-2,34","1,20",",00","-,31","-1,11","-1,64","-,25","-,50","-1,77","1,39"
EL.A3T8.11,Classical,Normal,"14,02","15,62","1,68","4,66","-2,36","-,10","-,58","-1,66",",12","-,16","3,73","-,27","2,74","1,37"
EL.A3TB.11,Classical,Normal,"14,65","15,98",",29","6,48","-2,68","-,41","-1,09","-3,30","-,10","-,26","4,11",",06","2,46","1,28"
EL.A3MW.11,Other,Normal,"14,06","15,90","1,69","7,42","-1,45",",18","-,64","-1,76",",16",",12","4,04","1,11",",99","1,49"
KS.A41J.11,Classical,Normal,"14,52","16,09",",26","7,93","-1,89","-,14","-1,13","-1,89",",17","-,34","4,57","-,09","1,50",",85"
BJ.A2N9.11,Classical,Normal,"14,43","15,58",",31","9,92","-,84","-,08","-,94","-,61","-,19","-,60","3,35","-,63","1,98","2,13"
EM.A1CV.11,Classical,Normal,"14,22","16,24","-,41","4,69","-3,77",",04","-1,62","-2,59","-,23",",09","4,17",",39","1,61","-,46"
EL.A3H1.11,Classical,Normal,"14,79","16,28","1,11","9,41","-2,29",",33","-,88","-1,81","-,52",",02","3,85",",28","2,43",",83"
BJ.A2NA.11,Tall_Cell,Normal,"14,93","15,84","1,70","8,17","-2,14","-,06","-1,13","-1,34","-,78","-,50","3,64","-,24","3,69","2,07"
EL.A3ZL.11,Classical,Normal,"12,90","14,87","1,03","3,51","-2,05","-1,07","-,99","-1,57",",21","-,08","3,24",",44","1,91",",80"
EM.A1YC.11,Follicular,Normal,"14,14","15,17",",87","7,05","-1,49","-,31","-,78","-2,43","-,19","-,12","2,75","-,84","3,25","2,39"
EM.A1CS.11,Classical,Normal,"14,48","15,76","-,31","8,28","-3,28",",03","-1,03","-2,85","-1,28",",03","3,69","-,82","2,44","1,75"
EL.A3ZG.11,Classical,Normal,"14,20","15,89","-,72","11,21","-3,55","-1,11","-2,76","-3,74","-,67","-,62","2,99","-1,20","2,55","1,16"
EL.A3ZS.11,Classical,Normal,"12,63","12,54",",98","5,73","-,38","-2,06","-1,24","-,14","-,92","-,47",",44","-1,84",",87","2,44"
EL.A3ZM.11,Classical,Normal,"15,27","16,03","1,78","8,42","-2,60","-,87","-2,08","-3,87","-,61","-,42","2,79","-,53","3,34",",67"
BJ.A2N7.11,Follicular,Normal,"14,81","15,78","-,24","10,20","-2,59","-,20","-1,24","-2,46",",14",",00","3,89",",18","1,68",",71"
EL.A3ZK.11,Classical,Normal,"14,96","15,99",",99","10,40","-1,62",",19","-,38","-1,31",",09","-,63","3,51",",13","2,75","1,93"
EL.A3T1.11,Classical,Normal,"13,73","15,34","1,15","6,76","-1,38",",69","-,42","-,55","-,17","-,35","3,37","1,09","2,00",",70"
ET.A2N5.11,Follicular,Normal,"15,11","16,04",",43","8,22","-4,28","-,01","-1,86","-2,03","-,14","-,40","4,59",",46","2,38","-,64"
EL.A3T2.11,Classical,Normal,"13,17","15,55","1,11","-,40","-3,12","-,50","-,56","-1,56",",21","-,14","3,49","1,47",",90","-2,16"
EL.A3N3.11,Classical,Normal,"14,21","15,65",",72","6,81","-2,78",",07","-1,09","-,32",",09","-,20","3,08","1,04","-,49","-,07"
EM.A1CW.11,Classical,Normal,"13,30","15,69","1,17","4,96","-3,55","-,52","-1,77","-2,02","-,58","-,11","5,29","-,06",",05",",46"
ET.A3DW.11,Follicular,Normal,"14,32","15,91",",67","10,19","-4,39",",00","-,87","-,60","-,67","-,18","2,83","-,15","3,36",",20"
ET.A2MX.11,Classical,Normal,"14,24","15,39",",43","6,64","-3,12","-,46","-1,82","-2,57","-,27","-,19","4,07","-1,19","2,09","2,00"
EL.A3H2.11,Classical,Normal,"14,94","15,79",",38","8,94","-2,82",",02","-1,46","-2,50","-,28","-,48","3,66",",23","2,52",",32"
EM.A1CT.11,Classical,Normal,"15,12","15,71",",80","8,12","-2,29","-,31","-1,46","-2,95","-,52","-,09","2,78","-,61","2,65",",56"
EL.A3N2.11,Classical,Normal,"13,97","16,58","1,44","3,21","-3,41","-1,09","-,09","-1,88","-,13","-,60","4,45","1,37",",89",",78"
EL.A3ZH.11,Classical,Normal,"15,30","15,83","2,10","7,43","-2,76","-,49","-2,10","-1,73",",18","-,39","3,76",",74","2,79","1,18"
GE.A2C6.11,Classical,Normal,"14,30","15,58","2,01","7,09","-,47","-,86","-,52","-,59",",19","-,53","2,45",",19","2,21","1,68"
DO.A1JZ.11,Classical,Normal,"14,73","16,89",",06","9,21","-2,77",",63","-1,35","-2,68","-,74","-,61","4,20","1,34","1,23","-,04"
H2.A2K9.11,Other,Normal,"14,80","16,14",",64","8,71","-1,30","-,05","-,78","-,85",",21","-,49","4,16",",53","2,25","1,74"
EL.A3ZO.11,Classical,Normal,"14,52","15,44","1,38","7,41","-2,28","-,29","-1,01","-1,60",",16","-,02","3,30",",75","1,99",",18"
EL.A3H7.11,Classical,Normal,"14,29","15,74",",18","6,28","-2,56","-,26","-,58","-1,04",",51",",00","3,43",",69",",91",",23"
EL.A3TA.11,Classical,Normal,"14,63","15,36","-,01","7,13","-2,06","-,31","-1,55","-3,71","-,18","-,41","3,79",",23","2,97","1,44"
BJ.A2N8.11,Follicular,Normal,"14,87","16,95","-,56","9,97","-2,67",",25","-1,19","-3,22","-,67","-,79","3,78",",38","2,93","1,08"
E8.A2JQ.11,Classical,Normal,"14,27","15,88",",18","8,57","-,69","-,51","-,61",",25",",10","-,24","3,51",",10",",83","2,13"
EL.A3ZR.11,Classical,Normal,"14,33","16,06","1,52","6,34","-1,38","-,51","-,94","-,86",",79","-,26","3,89",",63","2,46",",27"
EM.A3ST.11,Follicular,Normal,"14,81","15,53",",72","9,72","-2,56","-,32","-1,84","-4,54","-1,27","-,82","2,48","-2,05","3,94","1,16"
EL.A3ZP.11,Classical,Normal,"14,59","16,43",",53","6,69","-,86",",13","-,47","-,93","-,18","-,32","3,77",",36","1,14","1,24"
BJ.A3PR.11,Classical,Normal,"14,12","15,39","-,04","9,45","-1,66",",25","-1,69","-,93","-1,96","-,85","1,90","-2,14","4,58","1,49"
FY.A3TY.11,Classical,Normal,"13,43","15,50",",71","6,59","-2,45","-,16","-1,02","-2,54","-,25","-,37","4,25",",99","1,69","1,15"
ET.A3DP.11,Classical,Normal,"14,48","16,27",",47","5,67","-3,68",",05","-1,57","-2,40","-,14","-,13","3,36",",89","1,77","-,83"
EM.A1CU.11,Other,Normal,"14,45","16,05",",75","4,43","-3,46","-,82","-1,50","-2,97","-,42",",25","4,16",",08","1,78",",46"
KS.A41L.11,Follicular,Normal,"14,57","15,36",",00","8,73","-2,45","-,43","-1,63","-2,26",",14","-,58","3,40","-,10","2,53","2,04"
EL.A3T3.11,Classical,Normal,"14,92","15,97",",21","7,73","-2,46","-,16","-1,27","-2,15","-,18","-,69","3,65",",46","2,35","1,36"
BJ.A28R.11,Tall_Cell,Normal,"14,18","15,53","1,76","8,21","-1,11","-,40","-,67","-1,20","-,12","-,17","3,25","-,10","1,23","1,15"
BJ.A290.11,Classical,Normal,"14,71","16,28",",90","6,49","-1,98",",19","-,90","-2,02",",31","-,39","4,54",",33","2,72","1,64"
KS.A41I.11,Follicular,Normal,"13,51","14,80","1,45","5,40","-1,73","-,91","-,47","-1,01",",47","-,37","3,16","-1,05","2,01","1,92"
BJ.A28W.11,Classical,Normal,"15,39","15,68",",58",",96","-1,17",",72","-1,32","-,48","-1,95","-1,76",",51","-2,09","5,36","1,15"
EL.A3T6.11,Classical,Normal,"14,87","15,50",",17","8,09","-1,67","-,31","-1,08","-1,45","-,35","-,29","2,88",",37","2,42",",80"
EL.A3T7.11,Classical,Normal,"14,90","16,28",",96","7,71","-2,66","-,48","-1,11","-1,46",",40","-,22","4,06",",71","2,41","2,09"
EL.A3ZQ.11,Classical,Normal,"13,70","15,76",",64","5,18","-2,59","-,47","-,81","-1,44",",44","-,37","3,23",",42","1,48","2,11"
BJ.A28X.11,Classical,Normal,"13,29","14,78",",69","6,37",",26","-,60","-,09",",12",",52","-,29","2,84",",21","1,70","2,21"
EL.A3T0.11,Classical,Normal,"14,60","15,80",",65","9,52","-1,79","-,55","-,11","-1,54","-,42","-,51","2,96",",40","2,06","1,28"
EL.A3GZ.11,Classical,Normal,"14,05","15,76","-,28","7,46","-3,29",",44","-1,30","-1,27","-,34","-,21","3,88","1,28",",92","-1,27"
H2.A3RI.11,Classical,Normal,"14,15","16,18","1,77","6,29","-1,57","-,33","-1,10","-1,71",",59","-,40","3,96",",00","1,34","1,20"
BJ.A3PU.11,Classical,Normal,"14,78","15,77","1,06","9,06","-2,90","-,34","-1,64","-2,80","-,09","-,41","3,83",",23","2,26","1,82"
EL.A3MX.11,Classical,Normal,"14,70","16,46",",39","6,87","-2,07",",19","-,48","-2,06","-,22","-,87","3,56",",09","2,37","1,52"
EL.A3ZT.11,Classical,Normal,"14,52","16,60",",05","6,61","-2,89","-,52","-,99","-3,23",",64","-,34","4,32",",81","2,54","1,26"
EL.A3MY.11,Classical,Normal,"15,13","16,15",",95","6,83","-2,47",",50","-,57","-1,51","-,47","-,35","4,00",",74","2,96",",64"
DJ.A4V5.01,Other,Tumour,"11,07","14,28","2,82","3,24",",23","1,48","-,61","-1,11","-,19","-1,53",",90",",11","-1,82","1,13"
L6.A4EQ.01,Other,Tumour,"7,96","13,95","1,63","-,79","-4,57",",89",",00","-2,05","-1,34","-2,31","-,79","-1,06","-2,35","1,57"
FE.A3PB.01,Other,Tumour,"5,50","11,63","2,88","-,25",",65","1,08","-,41","-,76","-,69","-,33","-1,05","-,52","-1,29","1,22"
E8.A2EA.01,Other,Tumour,"9,57","13,55","2,84","2,49","-,67","1,43","-,68",",41","-,20","-,78",",90","-1,46","-,89","1,67"
ET.A3DS.01,Other,Tumour,"15,71","16,96",",14","5,43","-3,17",",07","-1,64","-3,04","-2,87","-,89","5,41","-,29","1,22","-2,71"
E8.A432.01,Other,Tumour,"6,19","12,85",",59","-1,27","-1,08","2,65","-,32","-1,15","-2,02","-,74","-2,19","-,60",",45","-1,35"
ET.A39M.01,Other,Tumour,"9,17","13,94","1,19","-,70","-,06","1,14","-,68","-1,28","-1,02","-1,78","-2,31","-1,08","-1,32",",74"
EL.A3T8.01,Classical,Tumour,"10,49","14,24","2,36","-1,17","-1,80","1,73","-,09","-1,15","-,14","-1,46","1,49",",72","-2,42","2,31"
ET.A25K.01,Other,Tumour,"8,34","14,85","1,36","-1,21","-2,22","2,30",",62","1,04","-,67","-1,06",",94",",79","-1,24","3,57"
DJ.A13O.01,Other,Tumour,"12,94","14,49","2,60","3,53","-1,15","1,60","-,97","-,40","-,24","-,92","2,50","-1,30","1,19",",81"
DJ.A2PO.01,Other,Tumour,"7,51","14,98","1,92","-,59","-,80","1,47",",32","-,24","-,38","-1,46",",19",",82","-1,21",",72"
DJ.A13V.01,Other,Tumour,"5,22","13,53","1,95","-1,32","-2,19","1,76",",08","-1,35","-,99","-1,51","-,12","-,37","-2,33","2,34"
EM.A2CT.01,Other,Tumour,"13,99","15,74","-,82","1,27","-2,76",",87","1,18","-,57","-4,30","-,57","1,02",",36","2,86","-,51"
DJ.A3VJ.01,Other,Tumour,"9,63","13,41","2,81","2,27","-1,70","1,72","-,76",",35","-1,60","-,97",",69","-,28","-1,69","1,73"
EL.A4K4.01,Other,Tumour,"4,62","13,39","3,34","-1,82","-1,64","2,32",",36",",44","-,68","-1,12","-,93",",53","-2,87","1,46"
EL.A3ZP.01,Classical,Tumour,"11,28","14,06","3,22","3,09","-1,57","1,36","-,66","-1,66","-,15","-,72","1,23","-,69","-1,11","1,88"
DO.A1K0.01,Other,Tumour,"5,75","14,48","2,11","-1,44","-2,37","1,36",",49",",47","-1,06","-1,40","-,48","1,22","-2,06","1,28"
EM.A22N.01,Other,Tumour,"14,93","16,47","-,82","4,80","-2,14","-,08","-,33","-1,70","-2,37","-,41","3,89","-,21","4,45","-3,08"
IM.A3U3.01,Other,Tumour,"7,48","13,07","1,87",",09",",09","1,34",",12","-1,68","-1,39","-1,77","-1,39","-,05","-1,97","1,11"
IM.A3U2.01,Other,Tumour,"6,95","12,72","2,56","-,98",",92","2,09","-,62","-,49","-2,30","-2,16","-,79","-,35","-2,10",",90"
EL.A3ZM.01,Classical,Tumour,"3,71","10,12","4,41","-1,18","-1,15","1,77","-1,24","-,96","-1,97","-1,75","-3,02","-,79","-2,42",",83"
ET.A3DW.01,Follicular,Tumour,"7,62","12,63","2,67","-,82","-2,93","2,06","-,05",",56","-1,40","-2,17","-1,86","-,25","-2,45",",24"
EM.A22M.01,Other,Tumour,"9,17","13,50","2,37","1,16","-,27","1,47","-,03","-,09","-,46","-1,67","-1,21","-1,70","-1,17","2,59"
EM.A22I.01,Other,Tumour,"5,57","13,32","3,43",",13","-,54","2,56",",25","1,01","-1,07","-1,26","-1,48","1,01","-2,40","1,82"
EL.A3CS.01,Other,Tumour,"6,84","14,45","1,27","-,96","-2,91",",33","1,60","-,22","-1,56","-1,12","-,68",",79","-1,22",",18"
H2.A3RI.01,Classical,Tumour,"5,56","14,41","2,28","-2,24","-2,24","1,03",",21","-,11","-1,32","-1,16",",65",",05","-1,23","1,76"
BJ.A45J.01,Other,Tumour,"8,50","14,01","3,36","3,88","-2,73","2,31","-,42","-,10","-1,73","-,99","-1,60","-,47","-2,43","3,52"
EM.A2P0.01,Other,Tumour,"10,86","14,77","2,78","2,65","-2,42","1,45","-,38",",52","-,22","-1,16","2,33","1,13","-,24","1,60"
E3.A3E3.01,Other,Tumour,"7,52","14,43","2,50","-1,82","-1,20","1,63",",86",",23","-,78","-1,20","-,69",",19","-1,62","1,75"
DJ.A2Q5.01,Other,Tumour,"6,90","14,35","2,16",",54","-1,25","1,32",",06","-,23","-,28","-1,13","-,77",",07","-2,17","2,53"
ET.A39S.01,Other,Tumour,"13,13","15,36","1,93","6,12","-2,21","1,74","-,25","-,46","-,78","-,92","1,93","-,18","1,04","3,46"
FY.A3R9.01,Other,Tumour,"15,55","16,10","-,07","4,50","-3,29",",81","-,02","-3,78","-3,51","-,87","1,73","-,66","3,85",",50"
DJ.A1QN.01,Other,Tumour,"5,76","13,87","2,11","-,69","-1,76","2,08",",60","-,87","-,40","-1,70","-1,22",",41","-1,82","1,82"
EM.A22J.01,Other,Tumour,"14,04","16,52","-,96","-,96","-3,81","1,08",",19","-2,30","-2,89","-,64",",39","-,16","4,25","-3,54"
EL.A3GO.01,Other,Tumour,"11,72","14,02",",05","-,28","-2,06","1,16","-,34","-2,76","-,57","-,21","5,11",",80",",91","-2,67"
FK.A3SG.01,Other,Tumour,"10,85","14,37","1,96",",78",",99","1,59","-,50","-,35","-1,28","-1,36","-,71","-,22","-,58","1,27"
EL.A4K9.01,Other,Tumour,"9,79","14,59","2,61","-1,35","-1,71","2,40","-,39",",26","-1,03","-1,08","-,94","-1,03","-2,35",",75"
EM.A3FJ.01,Other,Tumour,"10,36","13,77","1,80","5,79","-2,47","1,38",",00","-2,09","-,85","-1,30",",45","-,91","-1,08","2,00"
KS.A4I1.01,Other,Tumour,"5,59","11,36","2,49",",53","-2,86","1,85",",02","-1,52","-1,14","-1,02","-,46","-,74","-2,26","2,65"
IM.A41Y.01,Other,Tumour,"8,23","14,40","2,40","-1,01","-2,30","1,17",",08","-,25","-,32","-3,29","-1,43","-,64","-,41",",76"
EM.A3ST.01,Follicular,Tumour,"7,36","11,91","2,74","-2,24","-3,51","1,72","-,98","-4,53","-,57","-1,13","-3,09","-2,46","2,38",",10"
ET.A39K.01,Other,Tumour,"6,77","13,99","1,87","-1,12","-,71","1,66","-1,19","-1,41","-,97","-1,95","-2,17","-,45","-1,12","1,50"
FY.A3ON.01,Other,Tumour,"11,19","13,82","3,04","3,19","-1,75","1,82","-1,16",",55","-,08","-,89","1,03",",66","-1,33","1,04"
BJ.A28W.01,Classical,Tumour,"14,06","14,39",",34","7,08","-,01","-1,02","-1,33","-,37","-,80","-,44","1,48","-3,04","2,82","2,52"
DJ.A13X.01,Other,Tumour,"10,84","15,57","-,10","4,28","-1,18","1,53",",24","-1,59",",18","-1,26",",84","1,28","-1,48","2,24"
EM.A3O8.01,Other,Tumour,"13,54","16,19",",57","-,51","-3,91",",78",",11","-2,51","-2,10","-1,53",",82","-,73","3,04",",43"
ET.A40T.01,Other,Tumour,"9,37","14,21","2,49",",76","-,52","1,59","-,25","-,71",",28","-1,17",",93","-,33","-1,36","2,09"
DJ.A3VF.01,Other,Tumour,"6,30","10,88","2,55","-1,05",",65","1,56",",36",",23","-,81","-,44","-1,29",",61","-2,15",",37"
ET.A39N.01,Other,Tumour,"12,96","12,56","-1,93","-,42","-1,93",",54","-1,42","-3,56","-,71","-1,44","2,44","-2,12","3,38",",83"
CE.A481.01,Other,Tumour,"10,20","14,29","3,40","6,12","-1,23","2,07","-,99","-1,10","-1,47","-1,41",",49",",17","-,17","-,62"
KS.A41I.01,Follicular,Tumour,"12,30","14,36",",06","-1,33","-1,29","1,75","-,47","-2,34","-1,57","-1,53","-1,41","-1,64","3,84",",41"
DJ.A13U.01,Other,Tumour,"10,70","14,83","1,61",",09","-3,14","1,11",",97",",70","-2,45","-1,63","-,81","1,45","-,05",",80"
BJ.A0ZC.01,Other,Tumour,"15,58","16,61",",66","2,84","-3,02","-,56","-1,79","-2,83","-1,85","-,52","5,07","-,28","3,85","1,04"
ET.A3DT.01,Other,Tumour,"9,49","13,10","2,79","2,39","-1,08",",87",",03",",35","-,01","-1,16",",04",",84","-2,87","1,13"
ET.A3BW.01,Other,Tumour,"7,65","14,39","1,76","-2,24","-2,86","1,43",",41","-,80","-1,39","-,92",",88",",74","-2,87",",57"
ET.A25I.01,Other,Tumour,"15,01","15,02","-1,03","3,95","-2,37","1,70",",03","-1,86","-2,61","-,86","1,58","-,79","4,24","-1,97"
L6.A4ET.01,Other,Tumour,"5,52","14,41",",02","-,24","-4,56","1,10","-,79","-2,37","-,31","-1,91","-,42","-,72","-2,87","2,93"
EL.A3GZ.01,Classical,Tumour,"8,20","12,13","2,22","1,27","-2,71","2,29",",28",",20","-1,12","-1,19",",10",",11","-2,11","2,00"
EM.A3AI.01,Other,Tumour,"15,52","15,95","-,18","2,20","-1,22",",28","-1,47","-4,94","-2,20","-1,72","4,39","-2,09","2,44","-1,15"
FY.A76V.01,Other,Tumour,"12,76","15,09","2,44",",05","-2,08","1,71",",05","-1,49","-1,13","-1,09","-,44",",89","1,83",",09"
FE.A239.01,Other,Tumour,"12,79","16,10","-1,34","10,75","-3,94","-,54","-1,11","-2,22","-1,80","-1,68","5,01","-,34",",93","-,73"
EM.A3FM.01,Other,Tumour,"6,89","11,06","3,36","-1,46","-,64","1,77",",44",",11","-1,39","-2,28","-2,22","-,50","-1,38","1,62"
EM.A4FV.01,Other,Tumour,"12,04","15,10",",48","3,96","-,93","1,58","-,31","-,38",",39","-1,12",",27","-,15",",47","1,71"
DJ.A2PX.01,Other,Tumour,"9,43","14,89","1,83","-,44","-1,22","1,35","-,55","-,31","-,36","-,76",",53","-,40","-2,48",",00"
EL.A3CW.01,Other,Tumour,"13,38","15,07","1,31","3,22","-,92",",18","-,61","-,82","-,25","-,21","3,07","-,04","1,20","1,62"
FY.A4B4.01,Other,Tumour,"9,08","14,01","2,92",",47",",02","2,30","-,31",",24","-,60","-1,46","-,25","-,29","-1,79","1,32"
J8.A3YH.01,Other,Tumour,"7,09","13,99","2,29",",02","-2,44","1,33",",07","-,34","-1,47","-1,31","-,60","-,82","-1,05","1,82"
DJ.A3V2.01,Other,Tumour,"8,56","14,45","1,97","-1,87","-1,05","1,24","-,27","-,08",",05","-1,64",",50","-1,00","-2,20","3,17"
E8.A44M.01,Other,Tumour,"11,56","14,16","2,50","5,65","-,45",",57","-,46","-,18",",05","-1,19",",77","-1,08",",10",",71"
FK.A3SE.01,Other,Tumour,"10,87","14,17","3,43","4,92","-1,71","1,03","-,79","1,52",",60","-,63","2,63",",57","-1,05","2,37"
ET.A39L.01,Other,Tumour,"12,05","15,48",",32","-,92","-2,28","1,42",",15","-2,65","-,16","-,68","-,23",",83","-,33","1,73"
DE.A3KN.01,Other,Tumour,"8,74","14,14","3,16","1,95",",14","2,19","-,49","-1,07","-2,97","-,65","-3,07",",31",",11",",56"
BJ.A45D.01,Other,Tumour,"14,58","15,34","-,85","2,95","-1,85","2,19","-,84","-1,41","-2,18","-1,95","-1,01","-1,93","3,39",",49"
ET.A2N5.01,Follicular,Tumour,"14,88","16,44","-,02","-1,07","-5,07","1,58","-,43","-4,02","-2,39","-1,33","1,19","-,70","2,36","-2,13"
